provider,model,input_usd_per_mtok,output_usd_per_mtok,cache_read_usd_per_mtok,cache_write_usd_per_mtok,source
"anthropic","claude-fable-5","10","50","1","12.5","https://platform.claude.com/docs/en/about-claude/pricing.md"
"anthropic","claude-fable-5.1","10","50","0.25","12.5","https://platform.claude.com/docs/en/about-claude/pricing.md"
"anthropic","claude-haiku-3.5","0.8","4","0.08","1","https://platform.claude.com/docs/en/about-claude/pricing.md"
"anthropic","claude-haiku-4.5","1","5","0.1","1.25","https://platform.claude.com/docs/en/about-claude/pricing.md"
"anthropic","claude-mythos-5","10","50","1","12.5","https://platform.claude.com/docs/en/about-claude/pricing.md"
"anthropic","claude-mythos-5.1","10","50","0.25","12.5","https://platform.claude.com/docs/en/about-claude/pricing.md"
"anthropic","claude-opus-4","15","75","1.5","18.75","https://platform.claude.com/docs/en/about-claude/pricing.md"
"anthropic","claude-opus-4.1","15","75","1.5","18.75","https://platform.claude.com/docs/en/about-claude/pricing.md"
"anthropic","claude-opus-4.5","5","25","0.5","6.25","https://platform.claude.com/docs/en/about-claude/pricing.md"
"anthropic","claude-opus-4.6","5","25","0.5","6.25","https://platform.claude.com/docs/en/about-claude/pricing.md"
"anthropic","claude-opus-4.7","5","25","0.5","6.25","https://platform.claude.com/docs/en/about-claude/pricing.md"
"anthropic","claude-opus-4.8","5","25","0.5","6.25","https://platform.claude.com/docs/en/about-claude/pricing.md"
"anthropic","claude-opus-4.8-fast","10","50","1","12.5","https://platform.claude.com/docs/en/about-claude/pricing.md"
"anthropic","claude-opus-5","5","25","0.5","6.25","https://platform.claude.com/docs/en/about-claude/pricing.md"
"anthropic","claude-opus-5-fast","10","50","1","12.5","https://platform.claude.com/docs/en/about-claude/pricing.md"
"anthropic","claude-opus-5.5","4","20","0.2","5","https://platform.claude.com/docs/en/about-claude/pricing.md"
"anthropic","claude-opus-5.5-fast","8","40","0.4","10","https://platform.claude.com/docs/en/about-claude/pricing.md"
"anthropic","claude-sonnet-4","3","15","0.3","3.75","https://platform.claude.com/docs/en/about-claude/pricing.md"
"anthropic","claude-sonnet-4.5","3","15","0.3","3.75","https://platform.claude.com/docs/en/about-claude/pricing.md"
"anthropic","claude-sonnet-4.6","3","15","0.3","3.75","https://platform.claude.com/docs/en/about-claude/pricing.md"
"anthropic","claude-sonnet-5","2","10","0.2","2.5","https://platform.claude.com/docs/en/about-claude/pricing.md"
"deepseek","deepseek-flash","0.15","0.6","0.003","","https://api-docs.deepseek.com/quick_start/pricing"
"deepseek","deepseek-v4-flash","0.15","0.6","0.003","","https://api-docs.deepseek.com/quick_start/pricing"
"deepseek","deepseek-v4-flash-vision-exp","0.15","0.6","0.003","","https://api-docs.deepseek.com/quick_start/pricing"
"deepseek","deepseek-v4-pro","0.66","1.98","0.022","","https://api-docs.deepseek.com/quick_start/pricing"
"fireworks","accounts/fireworks/models/deepseek-v4-flash-0731","0.22","0.66","0.007","","https://docs.fireworks.ai/serverless/pricing.md"
"fireworks","accounts/fireworks/models/deepseek-v4-flash-vision-exp","0.22","0.66","0.007","","https://docs.fireworks.ai/serverless/pricing.md"
"fireworks","accounts/fireworks/models/deepseek-v4-pro-0813","1.32","3.96","0.044","","https://docs.fireworks.ai/serverless/pricing.md"
"fireworks","accounts/fireworks/models/deepseek-v4p1-flash","0.3","1.2","0.006","","https://docs.fireworks.ai/serverless/pricing.md"
"fireworks","accounts/fireworks/models/glm-5p2","1.4","4.4","0.14","","https://docs.fireworks.ai/serverless/pricing.md"
"fireworks","accounts/fireworks/models/glm-5p3","1.4","4.4","0.26","","https://docs.fireworks.ai/serverless/pricing.md"
"fireworks","accounts/fireworks/models/glm-5p3-flash","0.15","0.5","0.03","","https://docs.fireworks.ai/serverless/pricing.md"
"fireworks","accounts/fireworks/models/gpt-oss-120b","0.15","0.6","0.015","","https://docs.fireworks.ai/serverless/pricing.md"
"fireworks","accounts/fireworks/models/kimi-k2p6","0.95","4","0.16","","https://docs.fireworks.ai/serverless/pricing.md"
"fireworks","accounts/fireworks/models/kimi-k2p7-code","0.95","4","0.19","","https://docs.fireworks.ai/serverless/pricing.md"
"fireworks","accounts/fireworks/models/kimi-k3","3","15","0.3","","https://docs.fireworks.ai/serverless/pricing.md"
"fireworks","accounts/fireworks/models/minimax-m3","0.3","1.2","0.06","","https://docs.fireworks.ai/serverless/pricing.md"
"fireworks","accounts/fireworks/models/muse-glimmer-30b","0.35","1.5","0.04","","https://docs.fireworks.ai/serverless/pricing.md"
"fireworks","accounts/fireworks/models/nemotron-3-ultra-nvfp4","0.6","2.4","0.12","","https://docs.fireworks.ai/serverless/pricing.md"
"fireworks","accounts/fireworks/models/nemotron-lightning-3p5-30b-a3b","0.05","0.2","0.01","","https://docs.fireworks.ai/serverless/pricing.md"
"fireworks","accounts/fireworks/models/qwen3p8-max","2","6","0.25","","https://docs.fireworks.ai/serverless/pricing.md"
"fireworks","accounts/fireworks/routers/glm-5p2-fast","2.1","6.6","0.21","","https://docs.fireworks.ai/serverless/pricing.md"
"fireworks","accounts/fireworks/routers/kimi-k3-fast","4.5","22.5","0.45","","https://docs.fireworks.ai/serverless/pricing.md"
"github-copilot","claude-fable-5","10","50","1","12.5","https://docs.github.com/en/copilot/reference/copilot-billing/models-and-pricing.md"
"github-copilot","claude-fable-5.1","10","50","0.25","12.5","https://docs.github.com/en/copilot/reference/copilot-billing/models-and-pricing.md"
"github-copilot","claude-haiku-4.5","1","5","0.1","1.25","https://docs.github.com/en/copilot/reference/copilot-billing/models-and-pricing.md"
"github-copilot","claude-opus-4.7","5","25","0.5","6.25","https://docs.github.com/en/copilot/reference/copilot-billing/models-and-pricing.md"
"github-copilot","claude-opus-4.8","5","25","0.5","6.25","https://docs.github.com/en/copilot/reference/copilot-billing/models-and-pricing.md"
"github-copilot","claude-opus-4.8-fast","10","50","1","12.5","https://docs.github.com/en/copilot/reference/copilot-billing/models-and-pricing.md"
"github-copilot","claude-opus-5","5","25","0.5","6.25","https://docs.github.com/en/copilot/reference/copilot-billing/models-and-pricing.md"
"github-copilot","claude-opus-5.5","4","20","0.2","5","https://docs.github.com/en/copilot/reference/copilot-billing/models-and-pricing.md"
"github-copilot","claude-sonnet-4","3","15","0.3","3.75","https://docs.github.com/en/copilot/reference/copilot-billing/models-and-pricing.md"
"github-copilot","claude-sonnet-4.6","3","15","0.3","3.75","https://docs.github.com/en/copilot/reference/copilot-billing/models-and-pricing.md"
"github-copilot","claude-sonnet-5","2","10","0.2","2.5","https://docs.github.com/en/copilot/reference/copilot-billing/models-and-pricing.md"
"github-copilot","gemini-3.5-flash","1.5","9","0.15","","https://docs.github.com/en/copilot/reference/copilot-billing/models-and-pricing.md"
"github-copilot","gemini-3.6-flash","0.75","3.75","0.075","","https://docs.github.com/en/copilot/reference/copilot-billing/models-and-pricing.md"
"github-copilot","gemini-3.7-flash","0.75","3.75","0.075","","https://docs.github.com/en/copilot/reference/copilot-billing/models-and-pricing.md"
"github-copilot","gemini-3.8-flash","0.75","3.75","0.075","","https://docs.github.com/en/copilot/reference/copilot-billing/models-and-pricing.md"
"github-copilot","gpt-5-mini","0.25","2","0.025","","https://docs.github.com/en/copilot/reference/copilot-billing/models-and-pricing.md"
"github-copilot","gpt-5.3-codex","1.75","14","0.175","","https://docs.github.com/en/copilot/reference/copilot-billing/models-and-pricing.md"
"github-copilot","gpt-5.4","2.5","15","0.25","","https://docs.github.com/en/copilot/reference/copilot-billing/models-and-pricing.md"
"github-copilot","gpt-5.4-mini","0.75","4.5","0.075","","https://docs.github.com/en/copilot/reference/copilot-billing/models-and-pricing.md"
"github-copilot","gpt-5.4-nano","0.2","1.25","0.02","","https://docs.github.com/en/copilot/reference/copilot-billing/models-and-pricing.md"
"github-copilot","gpt-5.5","5","30","0.5","","https://docs.github.com/en/copilot/reference/copilot-billing/models-and-pricing.md"
"github-copilot","gpt-5.6-luna","0.2","1.2","0.02","0.25","https://docs.github.com/en/copilot/reference/copilot-billing/models-and-pricing.md"
"github-copilot","gpt-5.6-sol","4","20","0.4","5","https://docs.github.com/en/copilot/reference/copilot-billing/models-and-pricing.md"
"github-copilot","gpt-5.6-terra","2","12","0.2","2.5","https://docs.github.com/en/copilot/reference/copilot-billing/models-and-pricing.md"
"github-copilot","gpt-6-astra","10","50","1","12.5","https://docs.github.com/en/copilot/reference/copilot-billing/models-and-pricing.md"
"github-copilot","grok-4.5","2","6","0.5","","https://docs.github.com/en/copilot/reference/copilot-billing/models-and-pricing.md"
"github-copilot","grok-4.6","2","6","0.5","","https://docs.github.com/en/copilot/reference/copilot-billing/models-and-pricing.md"
"github-copilot","grok-4.7","2","6","0.5","","https://docs.github.com/en/copilot/reference/copilot-billing/models-and-pricing.md"
"github-copilot","kimi-k2.7-code","0.95","4","0.19","","https://docs.github.com/en/copilot/reference/copilot-billing/models-and-pricing.md"
"github-copilot","kimi-k3","3","15","0.3","","https://docs.github.com/en/copilot/reference/copilot-billing/models-and-pricing.md"
"github-copilot","mai-code-1.1-flash","0.2","1.2","0.02","","https://docs.github.com/en/copilot/reference/copilot-billing/models-and-pricing.md"
"google","gemini-3.1-flash-lite","0.25","1.5","0.025","","https://ai.google.dev/gemini-api/docs/pricing"
"google","gemini-3.5-flash","1.5","9","0.15","","https://ai.google.dev/gemini-api/docs/pricing"
"google","gemini-3.6-flash","0.75","3.75","0.075","","https://ai.google.dev/gemini-api/docs/pricing"
"google","gemini-3.7-flash","0.75","3.75","0.075","","https://ai.google.dev/gemini-api/docs/pricing"
"google","gemini-3.8-flash","0.75","3.75","0.075","","https://ai.google.dev/gemini-api/docs/pricing"
"groq","openai/gpt-oss-120b","0.15","0.6","","","https://console.groq.com/docs/models"
"groq","openai/gpt-oss-20b","0.075","0.3","","","https://console.groq.com/docs/models"
"groq","openai/gpt-oss-safeguard-20b","0.075","0.3","","","https://console.groq.com/docs/models"
"groq","qwen/qwen3.8-27b","0.8","4","","","https://console.groq.com/docs/models"
"moonshot","kimi-k2.6","0.95","4","0.16","","https://platform.kimi.ai/docs/pricing/chat.md"
"moonshot","kimi-k2.7-code","0.95","4","0.19","","https://platform.kimi.ai/docs/pricing/chat.md"
"moonshot","kimi-k2.7-code-highspeed","1.9","8","0.38","","https://platform.kimi.ai/docs/pricing/chat.md"
"moonshot","kimi-k3","3","15","0.3","3","https://platform.kimi.ai/docs/pricing/chat.md"
"openai","babbage-002","0.4","0.4","","","https://developers.openai.com/api/docs/pricing.md"
"openai","davinci-002","2","2","","","https://developers.openai.com/api/docs/pricing.md"
"openai","gpt-3.5-turbo","0.5","1.5","","","https://developers.openai.com/api/docs/pricing.md"
"openai","gpt-3.5-turbo-0125","0.5","1.5","","","https://developers.openai.com/api/docs/pricing.md"
"openai","gpt-3.5-turbo-1106","1","2","","","https://developers.openai.com/api/docs/pricing.md"
"openai","gpt-3.5-turbo-instruct","1.5","2","","","https://developers.openai.com/api/docs/pricing.md"
"openai","gpt-4-0613","30","60","","","https://developers.openai.com/api/docs/pricing.md"
"openai","gpt-4-turbo-2024-04-09","10","30","","","https://developers.openai.com/api/docs/pricing.md"
"openai","gpt-4.1","2","8","0.5","","https://developers.openai.com/api/docs/pricing.md"
"openai","gpt-4.1-mini","0.4","1.6","0.1","","https://developers.openai.com/api/docs/pricing.md"
"openai","gpt-4.1-nano","0.1","0.4","0.025","","https://developers.openai.com/api/docs/pricing.md"
"openai","gpt-4o","2.5","10","1.25","","https://developers.openai.com/api/docs/pricing.md"
"openai","gpt-4o-2024-05-13","5","15","","","https://developers.openai.com/api/docs/pricing.md"
"openai","gpt-4o-mini","0.15","0.6","0.075","","https://developers.openai.com/api/docs/pricing.md"
"openai","gpt-5","1.25","10","0.125","","https://developers.openai.com/api/docs/pricing.md"
"openai","gpt-5-mini","0.25","2","0.025","","https://developers.openai.com/api/docs/pricing.md"
"openai","gpt-5-nano","0.05","0.4","0.005","","https://developers.openai.com/api/docs/pricing.md"
"openai","gpt-5-pro","15","120","","","https://developers.openai.com/api/docs/pricing.md"
"openai","gpt-5.1","1.25","10","0.125","","https://developers.openai.com/api/docs/pricing.md"
"openai","gpt-5.2","1.75","14","0.175","","https://developers.openai.com/api/docs/pricing.md"
"openai","gpt-5.2-pro","21","168","","","https://developers.openai.com/api/docs/pricing.md"
"openai","gpt-5.4","2.5","15","0.25","","https://developers.openai.com/api/docs/pricing.md"
"openai","gpt-5.4-mini","0.75","4.5","0.075","","https://developers.openai.com/api/docs/pricing.md"
"openai","gpt-5.4-nano","0.2","1.25","0.02","","https://developers.openai.com/api/docs/pricing.md"
"openai","gpt-5.4-pro","30","180","","","https://developers.openai.com/api/docs/pricing.md"
"openai","gpt-5.5","5","30","0.5","","https://developers.openai.com/api/docs/pricing.md"
"openai","gpt-5.5-pro","30","180","","","https://developers.openai.com/api/docs/pricing.md"
"openai","gpt-5.6-luna","0.2","1.2","0.02","0.25","https://developers.openai.com/api/docs/pricing.md"
"openai","gpt-5.6-sol","4","20","0.4","5","https://developers.openai.com/api/docs/pricing.md"
"openai","gpt-5.6-terra","2","12","0.2","2.5","https://developers.openai.com/api/docs/pricing.md"
"openai","gpt-6-astra","10","50","1","12.5","https://developers.openai.com/api/docs/pricing.md"
"openai","gpt-6-luna","0.1","0.5","0.01","0.125","https://developers.openai.com/api/docs/pricing.md"
"openai","gpt-6-sol","2","10","0.2","2.5","https://developers.openai.com/api/docs/pricing.md"
"openai","o1","15","60","7.5","","https://developers.openai.com/api/docs/pricing.md"
"openai","o1-pro","150","600","","","https://developers.openai.com/api/docs/pricing.md"
"openai","o3","2","8","0.5","","https://developers.openai.com/api/docs/pricing.md"
"openai","o3-mini","1.1","4.4","0.55","","https://developers.openai.com/api/docs/pricing.md"
"openai","o3-pro","20","80","","","https://developers.openai.com/api/docs/pricing.md"
"openai","o4-mini","1.1","4.4","0.275","","https://developers.openai.com/api/docs/pricing.md"
"openai-codex","gpt-5.4","2.5","15","0.25","","https://developers.openai.com/api/docs/pricing.md"
"openai-codex","gpt-5.4-mini","0.75","4.5","0.075","","https://developers.openai.com/api/docs/pricing.md"
"openai-codex","gpt-5.5","5","30","0.5","","https://developers.openai.com/api/docs/pricing.md"
"openai-codex","gpt-5.6-luna","0.2","1.2","0.02","0.25","https://developers.openai.com/api/docs/pricing.md"
"openai-codex","gpt-5.6-sol","4","20","0.4","5","https://developers.openai.com/api/docs/pricing.md"
"openai-codex","gpt-5.6-terra","2","12","0.2","2.5","https://developers.openai.com/api/docs/pricing.md"
"openai-codex","gpt-6-astra","10","50","1","12.5","https://developers.openai.com/api/docs/pricing.md"
"openrouter","~anthropic/claude-fable-latest","10","50","0.25","12.5","https://openrouter.ai/api/v1/models"
"openrouter","~anthropic/claude-haiku-latest","1","5","0.1","1.25","https://openrouter.ai/api/v1/models"
"openrouter","~anthropic/claude-opus-latest","4","20","0.2","5","https://openrouter.ai/api/v1/models"
"openrouter","~anthropic/claude-sonnet-latest","2","10","0.2","2.5","https://openrouter.ai/api/v1/models"
"openrouter","~deepseek/deepseek-flash-latest","0.12","0.48","0.0036","","https://openrouter.ai/api/v1/models"
"openrouter","~deepseek/deepseek-pro-latest","0.54252","1.62756","0.018084","","https://openrouter.ai/api/v1/models"
"openrouter","~deepseek/deepseek-v4-flash-latest","0.03","0.8","0.008","","https://openrouter.ai/api/v1/models"
"openrouter","~google/gemini-flash-latest","0.75","3.75","0.075","0.0416666666667","https://openrouter.ai/api/v1/models"
"openrouter","~google/gemini-pro-latest","2","12","0.2","0.375","https://openrouter.ai/api/v1/models"
"openrouter","~moonshotai/kimi-latest","1.5","7.5","0.15","","https://openrouter.ai/api/v1/models"
"openrouter","~openai/gpt-astra-latest","10","50","1","12.5","https://openrouter.ai/api/v1/models"
"openrouter","~openai/gpt-luna-latest","0.1","0.5","0.01","0.125","https://openrouter.ai/api/v1/models"
"openrouter","~openai/gpt-mini-latest","0.75","4.5","0.075","","https://openrouter.ai/api/v1/models"
"openrouter","~openai/gpt-sol-latest","2","10","0.2","2.5","https://openrouter.ai/api/v1/models"
"openrouter","~openai/gpt-terra-latest","2","12","0.2","2.5","https://openrouter.ai/api/v1/models"
"openrouter","~x-ai/grok-latest","1.6","4.8","0.4","","https://openrouter.ai/api/v1/models"
"openrouter","~z-ai/glm-flash-latest","0.075","0.25","0.015","","https://openrouter.ai/api/v1/models"
"openrouter","~z-ai/glm-latest","0.6538","2.0548","0.12142","","https://openrouter.ai/api/v1/models"
"openrouter","aion-labs/aion-2.0","0.8","1.6","0.2","","https://openrouter.ai/api/v1/models"
"openrouter","aion-labs/aion-3.0","3","6","0.75","","https://openrouter.ai/api/v1/models"
"openrouter","aion-labs/aion-3.0-mini","0.7","1.4","0.18","","https://openrouter.ai/api/v1/models"
